pin,name,outer_color,inner_color,cable_type,description
1,C23-S,SHIELD,SHIELD,20-core,
2,C22-S,shield,shield,Coaxial,
3,C21-S,shield,shield,Coaxial,
4,C20-S,shield,shield,Coaxial,
5,C19-S,shield,shield,Coaxial,
6,C23-1,White,White,20-core,
7,C23-2,Brown,Brown,20-core,
8,C23-3,Green,Green,20-core,
9,C23-4,Yellow,Yellow,20-core,
10,C11+C12-S,black,grey,2-core cable,
11,C23-5,Grey,Grey,20-core,
12,C12-1,RED,RED,2-core cable,
13,C11-1,RED,RED,2-core cable,
14,C11-2,BLUE,BLUE,2-core cable,
15,C1+C2+C3-S,black,red,2-core cable,
16,C3-1,RED,RED,2-core cable,
17,C2-2,BLUE,BLUE,2-core cable,
18,C2-1,RED,RED,2-core cable,
19,C1-2,BLUE,BLUE,2-core cable,
20,C1-1,RED,RED,2-core cable,
21,C22-1,Signal,Signal,Coaxial,
22,C21-1,Signal,Signal,Coaxial,
23,C20-1,Signal,Signal,Coaxial,
24,C19-1,Signal,Signal,Coaxial,
25,C4-S,SHIELD,SHIELD,2-core cable,
26,C23-6,Pink,Pink,20-core,
27,C23-7,Blue,Blue,20-core,
28,C23-8,Red,Red,20-core,
29,C23-9,Black,Black,20-core,
30,C6-S,SHIELD,SHIELD,2-core cable,
31,C23-10,Violet,Violet,20-core,
32,C12-2,BLUE,BLUE,2-core cable,
33,C23-20,Pink/Brown,Pink/Brown,20-core,
34,C5-S,SHIELD,SHIELD,2-core cable,
35,C4-1,RED,RED,2-core cable,
36,C6-2,BLUE,BLUE,2-core cable,
37,C6-1,RED,RED,2-core cable,
38,C5-2,BLUE,BLUE,2-core cable,
39,C5-1,RED,RED,2-core cable,
40,NC,NC,NC,NC,
41,C18-S,shield,shield,Coaxial,
42,C17-S,shield,shield,Coaxial,
43,C16-S,shield,shield,Coaxial,
44,C15-S,shield,shield,Coaxial,
45,C23-11,Grey/Pink,Grey/Pink,20-core,
46,C23-12,Red/Blue,Red/Blue,20-core,
47,C23-13,White/Green,White/Green,20-core,
48,C23-14,Brown/Green,Brown/Green,20-core,
49,C8-S,SHIELD,SHIELD,2-core cable,
50,C23-15,White/Yellow,White/Yellow,20-core,
51,C13-2,BLUE,BLUE,2-core cable,
52,C13-1,RED,RED,2-core cable,
53,NC,NC,NC,NC,
54,C7-S,SHIELD,SHIELD,2-core cable,
55,C3-2,BLUE,BLUE,2-core cable,
56,C8-2,RED,RED,2-core cable,
57,C8-1,BLUE,BLUE,2-core cable,
58,C7-2,RED,RED,2-core cable,
59,C7-1,BLUE,BLUE,2-core cable,
60,C18-1,Signal,Signal,Coaxial,
61,C17-1,Signal,Signal,Coaxial,
62,C16-1,Signal,Signal,Coaxial,
63,C15-1,Signal,Signal,Coaxial,
64,C13+C14-S,pink/black,pink/black,2-core cable,
65,C23-16,Yellow/Brown,Yellow/Brown,20-core,
66,C23-17,White/Grey,White/Grey,20-core,
67,C23-18,Grey/Brown,Grey/Brown,20-core,
68,C23-19,White/Pink,White/Pink,20-core,
69,C10-S,SHIELD,SHIELD,2-core cable,
70,C14-2,BLUE,BLUE,2-core cable,
71,C14-1,RED,RED,2-core cable,
72,NC,NC,NC,NC,
73,C9-S,SHIELD,SHIELD,2-core cable,
74,C4-2,BLUE,BLUE,2-core cable,
75,C10-2,RED,RED,2-core cable,
76,C10-1,BLUE,BLUE,2-core cable,
77,C9-2,RED,RED,2-core cable,
78,C9-1,BLUE,BLUE,2-core cable,
